Timestamp,Measurement,Value,Unit,Type,Blanked,Concentration
0.00,ABSORBANCE,0.159,NONE,NONE,TRUE,75
60.00,ABSORBANCE,0.159,NONE,NONE,TRUE,75
120.00,ABSORBANCE,0.187,NONE,NONE,TRUE,75
180.00,ABSORBANCE,0.2,NONE,NONE,TRUE,75
240.00,ABSORBANCE,0.214,NONE,NONE,TRUE,75
300.00,ABSORBANCE,0.229,NONE,NONE,TRUE,75
360.00,ABSORBANCE,0.245,NONE,NONE,TRUE,75
420.00,ABSORBANCE,0.256,NONE,NONE,TRUE,75
480.00,ABSORBANCE,0.273,NONE,NONE,TRUE,75
540.00,ABSORBANCE,0.278,NONE,NONE,TRUE,75
600.00,ABSORBANCE,0.285,NONE,NONE,TRUE,75
660.00,ABSORBANCE,0.297,NONE,NONE,TRUE,75
720.00,ABSORBANCE,0.302,NONE,NONE,TRUE,75
780.00,ABSORBANCE,0.311,NONE,NONE,TRUE,75
840.00,ABSORBANCE,0.317,NONE,NONE,TRUE,75
900.00,ABSORBANCE,0.328,NONE,NONE,TRUE,75
960.00,ABSORBANCE,0.331,NONE,NONE,TRUE,75
1020.00,ABSORBANCE,0.334,NONE,NONE,TRUE,75
1080.00,ABSORBANCE,0.34,NONE,NONE,TRUE,75
1140.00,ABSORBANCE,0.344,NONE,NONE,TRUE,75
1200.00,ABSORBANCE,0.35,NONE,NONE,TRUE,75
1260.00,ABSORBANCE,0.352,NONE,NONE,TRUE,75
1320.00,ABSORBANCE,0.356,NONE,NONE,TRUE,75
1380.00,ABSORBANCE,0.362,NONE,NONE,TRUE,75
1440.00,ABSORBANCE,0.364,NONE,NONE,TRUE,75
1500.00,ABSORBANCE,0.368,NONE,NONE,TRUE,75
1560.00,ABSORBANCE,0.371,NONE,NONE,TRUE,75
1620.00,ABSORBANCE,0.377,NONE,NONE,TRUE,75
1680.00,ABSORBANCE,0.379,NONE,NONE,TRUE,75
1740.00,ABSORBANCE,0.381,NONE,NONE,TRUE,75
