Timestamp,Measurement,Value,Unit,Type,Blanked
0.00,ABSORBANCE,0.145,NONE,NONE,TRUE
60.00,ABSORBANCE,0.145,NONE,NONE,TRUE
120.00,ABSORBANCE,0.147,NONE,NONE,TRUE
180.00,ABSORBANCE,0.15,NONE,NONE,TRUE
240.00,ABSORBANCE,0.148,NONE,NONE,TRUE
300.00,ABSORBANCE,0.153,NONE,NONE,TRUE
360.00,ABSORBANCE,0.159,NONE,NONE,TRUE
420.00,ABSORBANCE,0.164,NONE,NONE,TRUE
480.00,ABSORBANCE,0.168,NONE,NONE,TRUE
540.00,ABSORBANCE,0.172,NONE,NONE,TRUE
600.00,ABSORBANCE,0.174,NONE,NONE,TRUE
660.00,ABSORBANCE,0.178,NONE,NONE,TRUE
720.00,ABSORBANCE,0.18,NONE,NONE,TRUE
780.00,ABSORBANCE,0.182,NONE,NONE,TRUE
840.00,ABSORBANCE,0.184,NONE,NONE,TRUE
900.00,ABSORBANCE,0.188,NONE,NONE,TRUE
960.00,ABSORBANCE,0.186,NONE,NONE,TRUE
1020.00,ABSORBANCE,0.187,NONE,NONE,TRUE
1080.00,ABSORBANCE,0.191,NONE,NONE,TRUE
1140.00,ABSORBANCE,0.192,NONE,NONE,TRUE
1200.00,ABSORBANCE,0.196,NONE,NONE,TRUE
1260.00,ABSORBANCE,0.196,NONE,NONE,TRUE
1320.00,ABSORBANCE,0.199,NONE,NONE,TRUE
1380.00,ABSORBANCE,0.199,NONE,NONE,TRUE
1440.00,ABSORBANCE,0.199,NONE,NONE,TRUE
1500.00,ABSORBANCE,0.204,NONE,NONE,TRUE
1560.00,ABSORBANCE,0.204,NONE,NONE,TRUE
1620.00,ABSORBANCE,0.208,NONE,NONE,TRUE
1680.00,ABSORBANCE,0.208,NONE,NONE,TRUE
1740.00,ABSORBANCE,0.208,NONE,NONE,TRUE
